,Estimate,Std. Error,z value,Pr(>|z|),CI_1,CI_2
(Intercept),-0.359203706,0.464207564,-0.773799769,0.439049209,0.28,1.73
block_difficulty,-0.032106454,0.046004952,-0.697891265,0.485245197,0.88,1.06
block_value_level,-0.591907193,0.02347772,-25.21144272,3.00E-140,0.53,0.58
block_stimulus_type,0.221391975,0.119187489,1.857510183,0.063238604,0.99,1.58
block_ntrials_phase1,0.018385557,0.017361647,1.058975382,0.289610992,0.98,1.05
block_ntrials_phase2,0.026656097,0.016458529,1.619591662,0.105320022,0.99,1.06
trial_difficulty,0.022216553,0.022565726,0.984526372,0.324856771,0.98,1.07
trial_value_chosen,0.571635403,0.01871676,30.54136583,7.36E-205,1.71,1.84
trial_number,-0.00460105,0.01310427,-0.351110774,0.725505245,0.97,1.02
