,Estimate,Std. Error,z value,Pr(>|z|),CI_1,CI_2
(Intercept),-0.322118504,0.283521143,-1.136135742,0.255899759,0.42,1.26
block_difficulty,-0.0638527,0.029054743,-2.197668726,0.027972722,0.89,0.99
block_value_level,-0.559297813,0.014467837,-38.65801095,0,0.56,0.59
block_stimulus_type,0.141036926,0.074033628,1.905038702,0.056775041,1,1.33
block_ntrials_phase1,-0.015625926,0.010937503,-1.428655717,0.153103212,0.96,1.01
block_ntrials_phase2,0.002279515,0.006904381,0.330154914,0.741282912,0.99,1.02
trial_difficulty,-0.003484048,0.013583298,-0.256495009,0.797568634,0.97,1.02
trial_value_chosen,0.551078066,0.011297302,48.77961686,0,1.7,1.77
trial_number,0.043239688,0.003689315,11.72024702,1.00E-31,1.04,1.05
